Patient Question,y_bin,y_mc,ml_emotional_reasoning,ml_overgeneralization,ml_mental_filter,ml_should_statements,ml_all_or_nothing,ml_mind_reading,ml_fortune_telling,ml_magnification,ml_personalization,ml_labeling
"I’ve had paranoid OCD for 17 years- but those issues were always based in the real word- that people were lying to me or out to get me. In recent months, I’ve started to believe that I can sense a shadow dimension, where beings that feed on fear have been causing my anxiety issues. I know it’s absurd, but I can’t shake this belief. My understanding was that delusional people don’t know they are delusional, but I am aware that all of this makes no sense, and I want it to stop. I never thought I would say this, but I miss my regular old paranoia!",1,1,1,0,0,0,0,0,0,0,0,0
"I have feelings for my school counselor. I know this is completely inappropriate, and I want to get passed it. However, I am not really sure how to go about doing this. I am currently in therapy, and have been for over a year. I completely trust my therapist, but am so embarrassed and scared of this situation that I don’t know how to approach it. The attraction is somewhat sexual in nature, but I think it may be related to past trauma. I have sort of created three of this counselor in my mind; the one that’s just normal, the one I have sexual feelings for, and the one I just want to be emotionally and physically close with. I have had similar feelings toward other people that I am not supposed to feel that about, but never anything on this level. Does this sound like a somewhat typical response to trauma? How do I go about addressing it, so that I don’t feel this way anymore?",1,4,0,0,0,1,0,0,0,0,0,0
"So I met a girl in August and we fell in love with each other, she lives in the USA and I live in Sweden. We soon started to Skype and I noticed how I just can’t speak. Even now after 3 months, I’m still very quiet and it makes both her and me very frustrated.",1,9,0,0,0,0,0,0,0,0,1,0
"I don’t know what’s wrong with me. The other day I was feeling so alone and insecure and for some reason I took I just took a BUNCH of pills I found. I don’t even know why I did it and now I feel so sick. I’ve never done that before and I’m kind of scared. I’ve never actually been diagnosed with depression but it runs in my family. My brother has really bad anxiety and my mom had depression when she was my age and she also had an eating disorder. I took a bunch of online tests and they all said I have severe depression but I know I shouldn’t trust those. I just feel like such a failure and like such a burden on everyone. I’m sad most the time and sometimes whenever I catch myself in a good mood, my mood immediately turns bad like I won’t let myself be in a good mood. I barely ever leave my house except for school and cheer, but my cheer season is over now. I barely have any friends and I never talk to the ones I do have because I feel like they all hate me and think I’m annoying. My grades are getting lower and I don’t even care, I’m just worried about how my parents will react. I don’t have motivation to do anything anymore. I don’t enjoy anything I used to enjoy. I feel like my life is pointless and it wouldn’t make a difference if I was here or not. Sometimes I think about killing myself, but I don’t think I’ll ever have the guts to actually do it. I just want to know if this is normal because my mom told me that all teenagers feel this way.",1,10,0,0,0,0,0,1,0,0,0,1
" Although I know it’s wrong to self-diagnose, I self-diagnosed myself with dysthymia just in February because I started thinking about killing myself, although I never actualized my thoughts (because I know it’s wrong), when before, starting when I was around 8, I just thought of about how life for me and for everyone else around me might be better off without me being born – because I noticed the favoritism of my parents toward me over my sister.",1,6,0,0,0,0,0,1,0,0,0,0
"I hope I’m just a perfectionist, but sometimes I feel like my behavior is too bizarre. I like order, routine, and organization, but I am not sure if I’m going too far with this. If fail anything I gave effort to I will not except it. I will beat myself up over it until I get it. One very unhealthy example of this would be my eating behavior. I want the perfect body and I don’t care how much mental exhaustion I have to deal with to get it. I fast for days and I refuse to eat foods that I deem as “bad”. If I do end up breaking this, which happens during breaks or family reunion dinners, I make up by extreme dieting next few days. Another example would be in school. I will study until I can no longer see words clearly on the paper or the screen, which some people might think is a good habit, so I am not exactly sure about this particular case. Another thing my friend thought was weird about a specific habit I have is washing my hands for exactly 30 seconds. I read about it somewhere that it takes 30 seconds for germs to actually come off, so again I’m not sure if not is actually abnormal. I just feel like people tell me my behavior is abnormal but I just think they’re exaggerating, because most people want to meet the average expectations. But I also do understand that many people close to me point out my obsessions in a negative way so I am just wondering if I am the one not seeing clearly or is everyone else in my life average achievers (sorry I don’t know any other term to use). One other mental process I want to point out about myself is that I see behavior in black and white terms. What I mean by this is that you’re either “perfect” or a “failure”. Clean or dirty. I don’t see topics such as politics in black and white, but behavior and characteristics that describe humans.",1,5,0,0,0,0,1,0,0,0,0,0
"I am 25 years old and married and I currently have my 27 year old sister living with me. She is the nicest person you will ever meet but we have a few major problems. I sometimes think that her mind is stuck back in Jr High/High school. Most of the people that she makes friends with are of high school age, and she tends to look up to them and identify with them and is almost obsessed with television shows that depict the lives of school aged children. Where most people our age would worry about their jobs, bills, retirement and so on, she is only concerned with makeup, hair, music and her friends. She is also extremely gullible. She will believe anything her friends tell her but will never, and I do mean never, listen to the advice of those who love her.",1,2,0,1,0,0,1,0,0,0,0,0
"""I can already tell that this is going to affect their college admissions, it's just a matter of time before it comes up in some background check.""",1,7,0,0,0,0,0,0,1,0,0,0
"""I'm still waiting to hear back from my manager, but I just know they're going to tear me apart over this mistake - another failure on my part.""",1,6,0,0,0,0,0,1,1,0,0,0
"From the U.S.: Hi. I am a young woman suffering from treatment-resistant atypical anxious depression. I know my brain is lying to me when it feels like I am going to be depressed for the rest of my life– I can be suspicious of this thought. Of course, the fact that successful treatment eludes me weighs on me, making me feel hopeless.",1,2,0,1,0,0,0,0,0,0,0,0
"""I'll never be able to shake off being an accident-prone driver.""",1,7,0,0,0,0,0,0,1,0,0,0
"Hello, I am current seeing a therapist as well as a psychiatrist and am taking .5mg Klonopin twice daily, and 10mg escitalopram. I have a great fear of heart testing and any type of test that requires my heart to be monitored. I’m afraid they will find something wrong. My moto has always been if a doctor does not verify you have a problem the problem does not exist. I need to change that moto. Please any suggestions or thoughts that I can reflect on would be greatly appreciated.",1,7,0,0,0,0,0,0,1,0,0,0
"""I'm already anticipating all the things that went wrong, everything seems like a mistake, I just know they're going to tear apart my report.""",1,7,0,0,1,0,0,0,1,0,0,0
"My sister-44 and mother-72 live together. Both are disabled. My mother is bi-polar/borderline personality. My sister has a chronic pain condition and, though not diagnosed with a specific mental illness, has NO self-esteem, is OCD and chronically depressed. She’s been married twice, is single, has no children and likely never will (something she can’t get over). Obviously that situation is toxic but unavoidable for financial reasons. I field hundreds of calls and texts her. Day and night. Though they both see psychiatrists for meds, neither are in therapy anymore since “it doesn’t work.”",1,2,0,1,0,0,0,0,0,0,0,0
"From a teen in the U.S.: A few days ago something bad happened. I would rather not go into too much detail but something extremely inappropriate was said to me by a relative who lived with me. I told my parents what happened and the situation was handled. Ever since then, however, any time I try to relax my mind just replays what happened over and over and I make myself anxious and scared.  I begin questioning if it even actually happened, or if maybe I misheard what was said, even though I am positive I heard correctly. Part of me almost thinks I shouldn’t have told anybody because of all the trouble it’s caused but, I know it was the right decision. I guess what I’m wondering is: Are these relatively normal responses to this kind of situation?",1,4,0,0,0,1,0,0,0,0,0,0
"My life is currently a disaster. I understand other people have it worse. Physically, I am blessed. I have a roof over my head, food to eat, transportation, a supportive family, an amazing church, and a helpful therapist (who is both a mental health counselor as well as a drug and alcohol counselor) who truly seems to care. During a very recent hospitalization, I also began utilizing a journal to get my thoughts out in a private manner. I have an incredible support system I rarely utilize. I am struggling with a number of issues. I suck at reaching out before making terrible decisions such as self harm and drug use. I am an alcoholic and a drug addict who attends AA meetings regularly but have yet to pick up my 24-hour chip. I feel as if I’m not ready to surrender and work a program. I am, however, terrified of the consequences of alcoholism/drug use. Another fellowship I was previously a member of states these consequences at the start of every meeting: jails, institutions, and death. I lost one of my best friends in March to addiction. I have also seen many others lose their lives. While heroin is not my DOC, I feel as though any substance I choose to use will inevitably lead to some kind of consequence. I am in such a conundrum. That is the only word I can think of to describe this mess known as my life. Following the worst inpatient experience of my life, I am also struggling with the emotional pain of being on a very small amount of numerous medications. I am on the starting doses of these meds which have not nearly reached a therapeutic level. I feel as though I am mentally and emotionally unstable, as is proven by my recent words and actions towards others. This has caused others pull away, possibly permanently. I owe amends I’m not ready to give. As a member of AA, I believe in the ninth step. That is a step I struggled with a lot, though. There were a lot of repeated amends by mouth, but no changed behavior. It was unintentional lip service. I was and still am unsure of how to change my behavior. My next issue has to do with the job I just lost on Monday and the rest of the issues I haven’t discussed that were a result of this volcano that has just erupted. A few weeks ago, I put my two weeks notice in at a job I had worked at for three weeks shy of a year. I was burned out on working with the general public, so going back is not an option. I had just been offered a contracted cleaning job. So for my last two weeks of work at my old job, I worked both jobs. This was not a good decision. I was simultaneously feeling suicidal due to just being put on Latuda. I could not get ahold of my psychiatrist, so after just two weeks of working a brand new job, i found it necessary to go inpatient before I made a fatal decision. Following being inpatient, they told me at my new job that while I had been out of work for two weeks, they had to fill my position. I burned bridges, lost my sponsor as a result of using the day they let me go, and cut myself for the first time in two years. I feel too unstable to try to obtain and maintain employment at this time. I will not be able to pass a drug test at the moment. Not having a job leaves me with a ton of time on my hands. I am torn between applying for SSI and SSD and looking for a new job (in a few weeks.) This leaves me with no income. I am blessed to live with a parent who provides for me. I don’t really understand the point of sharing all of this. I am the one who needs to make some changes and decisions.",1,7,0,0,0,0,0,0,1,0,0,0
"When I was around 8 years old, my older sister would have me play “truth or dare” with her. She is 4 years older than me, and most of the time we had to share a bed. She would make me preform sexual acts on her and get upset or angry if I told her I didn’t want to. She rarely ever reciprocated, and if I brought it up or mentioned it later, she would act like it never happened. This eventually stopped around a year or two later, but she would still make me sleep in the same bed with her for years after, even when we got separate rooms. She would always make me do things for her (nonsexual) and treat me as if I were her slave most of the time. I did everything for her until we had a falling out around 4 years ago, and now we don’t speak to each other. I have never told anyone what happened all those years ago, for fear that I am over exaggerating the seriousness of what happened. I know that kids that age don’t know any better, but I feel as if 12 might just be cutting it close to not knowing any better.",1,1,1,0,0,0,0,0,0,0,0,0
"I was fine until 7th grade ended, and then its like my memory jump skips to constantly being worried and miserable. When I was going through 8th grade I reached a point were I decided to work on what was bothering me so I could be better, but thats when I realized I had no idea what was bothering me. Looking back before all of this started though I’m not sure if I ever was fine, when I was younger I never considered any other kids to be my friend really, a lot of adults though. I did eventually move to a place were I kinda grew comfortable with everyone, and while I used to consider that time to be the peak of my life, looking back there were still flags then to. Im not exactly sure when, but between 2nd and 5th grade I developed maladaptive daydreaming, and while I felt fine for some reason little me felt compelled to feel emotional pain, I used to purposefully seek out depressing content to put myself in a bad mood, I honestly still kind of do this. During this time I developed a crush in which I became obsessively and honestly kind of creepily attached to him which drove him away from me in the long run,(this repeated in 7th). Anyways after 5th grade I moved away from that place to somewhere else, I got adjusted and made new friends and everything seemed fine until 7th grade ended. Going into 8th I originally had hope, I hoped I go back and I’d fall back into the old groove of things and everything would be fine, but when I got back it was just more issues. I didn’t trust anyone, every time I was with my friends I just felt alone, and I figured they probably wanted me gone so they could actually have a good time. My anxiety, (that was previously nonexistent), was at its peak, i’d have shooting pains, hypnic jerks, and would frequently fall into states of depersonalization/derealization. I finally came to the conclusion that the way to stop hurting, was to stop caring. I’d repeatedly tell myself, “I don’t care about anything, I don’t care about anyone”, in hopes that I would believe it, I’m not sure if that had any effect on me, but after 8th grade ended I just stopped caring. I still had symptoms of anxiety and depression, but they were no longer manifesting themselves into physical symptoms. I still felt unwanted by my group of friends so I just stopped hanging out with them. I wouldn’t say I felt happy, but I wasn’t miserable, I was just kind of done I think. Going into high school I still didn’t really have any friends because I was to scared to talk to anyone, and when they made an effort to talk to me, all I could think in response to there advances were one word answers. I started to grow more fearful of the future as I realized that my childhood was running out and I had no idea what I want to do with my life. I know people say “pursue a career in your interests” but nothing interests me. If I could truly do anything in life, I’d find a secluded area from everyone so I could listen to music and be alone to my fantasy world. I guess that’s kind of were i am now, done, and fearful of the future. I can recognize that not all my thoughts are correct and 90% of the bad things that im convinced everyone feels about me, are probably caused by my anxiety, but even being actively aware of that I still don’t feel any different. I just hope that someday I can be normal, I fear that all I’ll have to remember my teenage years, is me sitting alone in my room listening to music. I wish I could go to social outings and take risks, and have new experiences, and I realize for that to happen I have to take the initiative, but everytime I get handed a chance to do those things I shy away from them because in the moment that all sounds like a terrible idea to me because I much rather be left alone, and its not until later that I regret it. A part of me wonders if this all karma, and I’m actually a bad person, or a narcissist thats suffering the consequences of her actions.",1,1,1,0,0,0,0,0,1,0,0,0
"Hi i’m an 18 year old girl and i’m diagnosed with ADD, GAD, and depression. after trying other meds, i’m only on zoloft atm. basically i’ve been starting to lose hope for myself. i’ve been to many different therapists and tried a few other medications. i don’t know if i will ever be able to live a normal life. i’m afraid of everything. lately i’ve been concerned about myself more because i have moments where i feel just detached from reality. as if i’m watching life through a screen. sometimes the person i see in the mirror looks like a stranger to me. i haven’t told my therapist about this because i don’t know if it’s just my anxiety or if i actually have the disorder. i haven’t told my family because i don’t want to worry them even more for me. my depression doesn’t help either. if nothings real why try in life? it feels like i won’t be able to ever leave any sort of impact.",1,2,0,1,0,0,1,0,0,0,0,0
"Hi, I have suffered a lot of failures back to back in a short space of time (3 years). I now feel hopeless. I am lost and my life is drifting. I would like to know what practical steps I can take to re-engage with the world and to form dreams/goals again and to start trying to achieve them.",1,3,0,0,1,0,0,0,0,0,0,0
"""Another sleepless night, just reliving all the stupid things I said and did last week. Everything seems like a mistake now, not one success to show for it.""",1,3,0,0,1,0,0,0,0,0,0,0
"From a teen in the U.S.: Me and my mom has been fighting for a while now and we’e both tired of fighting with each. She is constantly saying I’m irresponsible and she makes me feel like I’m always doing something wrong. I try to tell her how I feel but she never listens to what I have to say. And I just recently found out that I may possibly have bulimia and I haven’t told her because she’s only going to “it’s all in your head, you don’t know what you’re talking about” so I always feels as though I can’t talk to her or tell her anything.",1,1,1,0,0,0,1,1,0,0,0,0
"""The whole night has been a complete disaster, first the phone ringing in the middle of the night, now my mom's life is hanging by a thread... everything seems like a mistake.""",1,3,0,0,1,0,0,0,0,0,0,0
"So I met my best friends in the world when I started college. I finally found a group of people I clicked with and it was all great last year. This year however, every single one of them has switched on me. They ignore me when they see me and walk right past me which is immature and hurtful. The worst part of it is my best friend also hates me now. I met her to reconcile but it led nowhere, and she didn’t really tell me what I did to cause this change.",1,7,0,0,0,0,0,0,1,0,0,0
"To me, I seem like a perpetual underachiever, never quite living up to my own potential or anyone else's expectations.",1,10,0,0,0,0,0,0,0,0,0,1
"My loved one and her boyfriend have been together since high school. She is in her mid-twenties now and they just had a baby girl. He has tried to leave her multiple times throughout their relationship, but she would threaten suicide in order to keep him around. A little bit about her: she suffers from childhood trauma. She had a very rough life growing up before she was adopted into my family. There is a history of schizophrenia, depression, and autism in her biological family tree. She is unreliable when it comes to committing to plans. She used to sleep all day, before the baby. She is never happy and if you make any mistakes, she will hold a grudge forever. She expects perfection from others, but will have excuses for herself. Since the age of twelve she has always had a boyfriend, I think her greatest fear is being single or alone. She is always angry or upset with him but will not let him go. A little bit about him: he is 3 years younger than her, he wants to be a twenty-something year old and hates being restricted by her. He has ADHD and chronic migraines, as well as a dysfunctional family. He has gotten to the point where he tries to reach out to other girls, or he tries to escape with friends. She goes through his phone every day AND SEES THAT HE IS TRYING TO CHEAT ON HER but will still not let him go. He has stopped doing household chores, he no longer helps take care of their child, he is trying to escape. If he is ever alone with the baby he tries to get others to watch her for him. He is always reaching out to me telling me how he does not love her, and how he wants to leave. I do not respond, but I predict that if he manages to leave, she will follow him. Or he is just venting to me and actually will not try to leave (because he’s done that before). They are currently looking for a new place to move in to. I do not want to risk reaching out to him due to his phone getting checked everyday, but I do not think my loved one will listen to any advice I give her, because she is not looking for it. Please help.",1,6,0,0,0,0,0,1,1,0,0,0
"I don’t have a lot of empathy, I think that I am the best person in the world and I say that to people, I have a big ego and if something is not right I always think the worst. I like having power and if some of my friends tell me their problems I get bored quick. At first, I thought that I am a psychopath or sociopath but I am not impulsive, sometimes I want to hurt somebody if they annoy me or make fun of me (very rarely) but I never do ( I don’t think I will ever do it). I always think before I do something, I don’t think that I need friends but I have them. I planned my whole future to be rich and famous. (From Croatia)",1,5,0,0,0,0,1,0,0,0,0,0
"Hey, I’ve got a pretty complex issue here with a lot of nuances. To put it simply, my girlfriend has BPD with the three extra disorders, Eating, Depression, and anxiety. After 9 months I’m really struggling to find the love in the relationship. One month ago I did something awful to her that was related with my PTSD, and now I’m just trying to pick up the pieces because of guilt. Because of my desperate behaviors, I’m worried that she has taken this opportunity to control me. Currently, there is a lot of me giving to her and not receiving the same effort back. There are a lot of fights and daily depression that effects both our lives heavily. I guess, I’m trying to figure out if I should break up with her because the BPD has become too overwhelming and manipulative. I can’t even play guitar anymore because she thinks that me learning will compromise her identity that has latched onto her guitar skills. All of my hobbies are now competitions in her mind. I love her extremely, but all of this daily drama is killing us. I think it just comes down to figuring out if there is a future for us anymore. Can we recover from my PTSD episode that ruined our relationship, or are we just delusional. I really don’t have anyone in my life to discuss with. (From the USA)",1,4,0,0,0,1,0,1,0,0,0,0
"Honestly, i don’t know how and where even to start… and i dont know how to say all of this in only 400 words…recently ive started to suspect i might have schizophrenia. i believe that everyone is watching me, and i cant trust anyone (that includes you), that there are cameras everywhere, that i am dead and that this is just someone trying to see how id be after my death. ever since i was little too (about 5) i believed i was being watched by people on a secret island and made a film of. i try to convince myself that it’s not real;that there’s no way it’s real..but i cant. i have a psychotherapist, but i just can’t tell her anything i want to. i can’t force myself to tell her anything, but i really want to. and when i tried to explain my anxiety and attacks to her, i couldnt explain it properly.(diagnosed me with DID but i dont feel it at all) at school, when someone asks me something, i can never explain my feelings AT ALL. i always get something wrong,even though i know the answer.i’ve noticed that sometimes my sentences dont make sense to my friends, because i cant even say a sentence properly and i see things they don’t. i also have severe ptsd where at times i go completely deaf and nightmares, but the memories came back only recently (after 3 yrs) and i am sure im just making it up so i can pity myself and have a reason to be depressed. during the past 1yr i also ended up diagnosing myself with different disorders to explain my head-but always changing my mind..(pathological lying,ADD,PTSD,schizo,cotard delusion,SAD..)i know it’s wrong to diagnose myself;but since i cant tell anyone,and just keep lying all the time,im curious&desperate i only have this.i discovered something about myself though-im comfortable anonymous.there’s also always someone watching me from my bedroom window and scared.im suicidal(but im dead anyway so).i have crazy voices in my head that i cant control.i can barely tell whats real and whats not.i hate lying to my friends and family all the time about the smallest things.no one knows though.i cant really put all my emotions and things going on in 400 words.but this is without many details…",1,1,1,1,0,0,1,1,0,0,0,0
"""I'll probably end up living out of a suitcase for months, this whole situation is just one disaster after another.""",1,7,0,0,1,0,0,0,1,0,0,0
"I need to break out of cyclic depressive problem but humiliated to seek help. I believe that I am suffering from severe depression (and the site’s test also implies this), but cannot bring myself to seek help. Any time I have sought help recently or at a similar episode in the past, I have been unable to achieve anything from those I have approached, and have ended up feeling worse in the long-term. In a breakdown recently I tried to explain my symptoms to my mother, but was so worried about upsetting her that I only managed half-truths. She reassured me that I am just very tired, not feeling well (have been suffering from fluey symptoms recently) and just feeling a bit emotional. This helped a little bit, but things were back the way they had been in the morning.",1,5,0,0,0,0,1,0,0,0,0,1
"Hello, I need help. I have strong urges to torture people/animals and force them into a bloody death. Blood satisfies me, I find pleasure from leaving self-inflicted cuts on my skin. At first I thought I was just depressed but I don’t hurt myself for that reason, I hurt myself to see my blood. I like the way it looks and feels. But that’s not the only violent act I wish upon myself, I fantasize about being tortured, I want to die as a murder victim, I want my murderer to cut open my body, I want to see my insides. These strange fantasies scare me, I can’t stop myself from thinking this way. In my spare time I catch myself glaring at people, planning their gruesome murder and seeing how I’d get away with it. I physically want to kill someone but I mentally don’t. I’m not sure if this is making sense to you, because it doesn’t even make sense to me. The only thing stopping me from hurting others is getting my satisfaction from illegal videos online, on gruesome websites such as ‘bestgore.com’ and ‘liveleak’. On these websites, people upload either real-life murder videos that they have committed, or videos of gruesome things that they have seen. I am not disgusted by dead bodies, gore or blood. Instead, I wish to be in a situation involved with a lot of blood. I have two very close, childhood friends that know about this, but no one else knows. I’m afraid that one day I’ll be sent to a mental institution if I end up doing something horrible. Let’s backtrack a little. I grew up in an abusive family, i don’t want to get into that situation but it might have something to do with the way I’m feeling right now. Ever since I was a child I had always loved death and gore, I remember when I was young, I watched the movie ‘Titanic’. I was never interested in the romance, instead, I would skip ahead to the scene where the ship sank and the passengers froze to death. Whenever my parents weren’t home, or I was alone, I’d play that scene. I don’t know what’s wrong with me, I really need your help.",1,7,0,0,0,0,0,0,1,0,0,0
"From Ireland: Sometimes I don’t know how I’m feeling and cut myself. Whenever I cut I don’t go deep at all. I barely cut the surface and I doesn’t even really leave any scars… lately I’ve been punching my arms and leaving these bruises. I’m close with my mum but no I don’t want to tell her. I don’t even know what I’m thinking or what’s wrong so what’s the point, I don’t want to cause any trouble and don’t want anyone to know. My parents can get quite strict and I don’t want to tell any of my friends because they would tell a teacher or my parents and that’s just not what I want. I get in such bad moods and get quite tired and just want it to stop and I think that could be one of the reasons I self harm. I also find my past relationship with my dad and brothers to upset me even thought we get along well now, id say we are quite a vocal and physical family went things get heated sometimes I just feel trapped. Wow I don’t think I’ve ever even looked for advice before so I guess this is a start.",1,6,0,0,0,0,0,1,0,0,0,0
"Im not reallt sure if i will get a response but i need some sort of answer and i refuse to go to a clinic. Ever since my 16 birthday ive developed strange urges. The urges range from wanting to hurt people and animals, to wanting to convince everyone that they are wrong about everything and that nothing they do is worth their time. Now i k,ow this might seem harmless but im 20 now, and slowly but surley the urges have gotten worse. I usually have 1 episode per year and im concered. Last year i actively went searching for an animal to kill and blugeoned a opposum to death with a pipe. Im not sure if i should seek help or if i should convince myself that its all in my head. Please, i need an answer.",1,4,0,0,0,1,0,0,0,0,0,0
"From a teen in the U.S.: I have an extremely low self esteem for no apparent reason; my mom and my family always go out of their way to tell me im beautiful, and sometimes i feel that way, but sometimes i feel horrible, which is selfish when i think about it. I also feel really self conscious about my personality, since it feels like no one likes me, maybe thinks im annoying or that im not worth talking to them.",1,3,0,0,1,0,0,1,0,0,0,0
