model,task,seed,split,n_classes,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,no_distortion_wcontrib,truncation_rate,source,averaging,results_dir
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base]@splits_codipas_cls,multilabel,1337.0,test,10,0.2739859209458073,0.2673951829907504,,0.2657342657342657,,,,0.2459,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base]@splits_codipas_cls,binary,2024.0,val,2,0.7245295200505527,0.7232949645682576,,0.725609756097561,0.7486033519553073,,,0.2165,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base]@splits_codipas_cls,multilabel,2024.0,val,10,0.3215018624008656,0.3042245890458702,,0.3172413793103448,,,,0.2742,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base]@splits_codipas_cls,binary,2024.0,test,2,0.7156562598396589,0.7115051780394381,,0.7164634146341463,0.7493261455525606,,,0.189,empowerlens,,results_cascade (composed)
cascade[binary_mental-roberta-base+multilabel_mental-roberta-base]@splits_codipas_cls,multilabel,2024.0,test,10,0.2631635975363143,0.2526322002204163,,0.2617801047120419,,,,0.2646,empowerlens,,results_cascade (composed)
mental/mental-roberta-base,multiclass,42.0,val,11,0.3767713422354524,0.2224668711010003,0.1891118984600631,0.3414634146341463,,0.5560165975103735,0.2644469183281044,0.2165,empowerlens,,results_multiclass_v2 (fixed)
mental/mental-roberta-base,multiclass,42.0,test,11,0.4001163497308478,0.28760607447167,0.2608111263632815,0.3841463414634146,,0.5555555555555556,0.247289972899729,0.189,empowerlens,,results_multiclass_v2 (fixed)
mental/mental-roberta-base,multiclass,1337.0,val,11,0.3657439973412988,0.2137745647129774,0.18038023695191,0.3170731707317073,,0.5477178423236515,0.2604999493978342,0.2165,empowerlens,,results_multiclass_v2 (fixed)
mental/mental-roberta-base,multiclass,1337.0,test,11,0.3802210638227195,0.2865778439425964,0.2645568953051819,0.3567073170731707,,0.5067873303167421,0.2255821653239156,0.189,empowerlens,,results_multiclass_v2 (fixed)
mental/mental-roberta-base,multiclass,2024.0,val,11,0.2976159270317344,0.200098148462378,0.1795419255727667,0.2621951219512195,,0.4056603773584906,0.1929360331339162,0.2165,empowerlens,,results_multiclass_v2 (fixed)
mental/mental-roberta-base,multiclass,2024.0,test,11,0.3460616230675842,0.2993958378147552,0.2883354215962307,0.3384146341463415,,0.41,0.1825,0.189,empowerlens,,results_multiclass_v2 (fixed)
Shreevastava2021,binary,,paper,2,0.79,,,,,,,,paper,UNSPECIFIED,results_multiclass_v2 (fixed)
Shreevastava2021,multiclass,,paper,UNSTATED,0.3,,,,,,,,paper,weighted,results_multiclass_v2 (fixed)
