text,binary_label,distortion_type
"I have suffered from severe depression for most of my life. I also am a binge eater. I am super morbidly obese. I have been on disability for almost 8 years. I have times when I do very well, while disability, I signed up for the pass plan. It pays for schooling so a person can get training to get a job. I went to a vocational school for 3 months, and I got trained to be a jeweler. My first interview, I got a job at Tiffany. A high end jewelry company. I got off disability and have worked there 4 years now. I started working there, and was treated badly. I was bullied by the trainers, and made to feel worthless. I kept my head down and worked hard. I worked so well, I became a trainer, and stood out among my peers. I figured if I did well, I would earn respect, but all that did was fan more hatred. I have had to go to HR twice because I cannot stand the bullying. What is worse, is aside from these few people, the majority of the workers are wonderful. I cannot handle the few higher ups who belittle me. When I think of quitting, I cry, because the thought of leaving all the nice people who work there makes me sad. I just had a breakdown and asked my psychiatrist if I could have a month medical leave. I am having outbursts at work, I am losing all I worked for. I start to wonder if I should just go back on disability. I cant seem to hold it together, I breakdown. To make it worse, my fiancée is in a different country due to work. We have been apart for almost 3 years, we visit each other but that is not a relationship. We plan to get married in July, but I need him now. When we are together, I am very happy. It was when we first started dating that I decided to do the pass plan and get myself together. I did well, food was not a crutch, and was happy, normal. What bothers me is that I don’t want to have to depend on anyone person for my happiness, to solve my problems….because I don’t think that is solving the issues. What if I just masked it? I feel completely empty, I feel so unloved. I feel hollow, and I go from high functioning to completely decimated. I don’t know what to do, I am so tired of fighting for everything in my life. I find all I want, all I ever wanted was to be loved, to be accepted. How do I hold on? What do you do when you cant keep pretending everything is fine? When years of Therapist and psychiatrist don’t seem to help. There seems to be no cure, and no matter what happens, I can never be free from the depression, the food addiction. Why can’t I be normal? Why can’t I just be treated like everyone else?",Non-Distorted,No Distortion
"My boyfriend overreacts over the smallest things. For example, I was with my uncle for lunch and a few errands. He called me 4 times while I was with him and finally I told him that I would call him after we got done eating. I ended up not calling until I took my uncle back home because I didn’t think it was that big of a deal for me not to call my boyfriend for another 25 minutes. During the time that I was driving my uncle home, he texted me 6 times, hurtful things. Another example, when he got home the other night I was sitting in the kitchen looking on my phone and he got insanely mad the second he saw me. He said that I didnt care and I would be better off with someone else because I was on my phone! Every morning when we get up, he sits on the toliet (TMI I know) and plays on his phone for about 45 minutes. He thinks that is okay, as do I, but I can’t play on my phone. PLEASE HELP ME! He only sees my flaws and holds me to them every single day but when he makes the same mistakes, I have to get over them. Any help would be great.",Distorted,Personalization
"It is my third and final year at university, in both the first and second years I was working at a first level. This year however, no matter what I do I can’t concentrate or get motivated in the slightest. I have had constant anxiety for several months now, meaning I started skipping lectures because for some reason they became almost scary. I have also had an increasing number of panic attacks, I used to get them very occasionally and now they are daily. It has got to the point where I have the first semester final exams next week and I have no idea what I am going to do, I can’t seem to get into revision because I feel so panicked, which is just adding to the situation. When I was 14, I attempted suicide and was given CBT, when I was 17 I was sexually assaulted and suffered more depression that I didn’t get help for and which ruined my A-level results. I thought I was “better,” but it seems I have scuppered my attempts of getting the grades and career that is expected of me. I just keep sabotaging myself when it is most important. I don’t even know what I expect from this, it is too late to do anything about the impending exams. I am probably just looking for some way of getting out of them.",Distorted,All-or-Nothing
"From a teen in the U.S.: I’m 16 years old, and for about two months I’ve been hearing, and seeing things that aren’t there. They’re mainly dark figures, but sometimes when they’re close enough, I can hear them saying things. They normally say my name, or just gibberish. I’ve tried and tell me mum, but she doesn’t believe me, and my friends say I’m losing my mind. I’m having homicidal thoughts as well, but the figures, and voices are scaring me the most right now. What can I do?",Distorted,Magnification
"I’m having flashbacks of being involved in sexual activity from the age of around 7, the boy was 4 years older than me. I remember waking up to him touching me during a sleepover and telling me to be quiet. I didn’t know what he was doing and was too scared to say anything.",Distorted,Emotional Reasoning
"I was molested by my stepdad at age 13. I was sick (stomach bug) and my stepdad asked if I wanted to take a bath. I said yes, but did NOT consent to being undressed and bathed by him. He just did it, and I was terrified. My mother knew that this happened, but not that I was molested. I told my guidance counselor at school about the bath, but also failed to mention what else he had done. CPS came to the house, but nothing came of it. I finally worked up the strength to tell my mother that I was molested when I was 19, in addition to all the perverted things he has done/said throughout the years. The most disgusting thing I recall him saying happened at age 12, a year prior to being molested. He said &”if you were 18, I would leave your mom for you.” I nervously laughed, trying to disregard what I had just heard. Despite telling her everything, she is still married to him and has shown little to no concern. I came forward three months ago to every family member of mine and my stepdad’s that I have in my contacts. I have an 11-year-old brother that my mother had with my abuser, and after coming forward to everyone (which she was aware of) she claimed that she wanted to speak with a professional before making any decisions. She’s trying to justify her lack of action with the potential effect that leaving his dad may have on him. I have not spoken to her since coming forward. When my older brother spoke to her last month, she blatantly lied by saying that I spoke to the professional she supposedly saw. She even said that this ‘professional’ told her that nothing she does will be good enough for anybody, and that I may have some kind of delusional disorder. I suppose what I’m trying to ask is how I should handle this disaster. I’m absolutely devastated. My mother and my stepfather’s family have completely sided with him. It’s hard to effectively describe how soul-crushing this is to somebody that hasn’t been in a similar position. All I know is that I’m in desperate need of guidance.",Non-Distorted,No Distortion
"So, a lifelong issue (as I’ve come to the realisation of) is that my mood, thoughts and feelings change way too quickly, way too easily and for no strong reason. It’s a bit like I’m not tethered to reality, I sort of live in my mind constantly thinking about things, but it’s like I can’t easily conceptualise the future and say, my upcoming exams, or just grounded LIFE as we know it. I get tonnes of ideas/realisations on a daily basis but in seconds the mood i had to follow through disappears. I can’t really identify my moods because they’re all so weird, and if i try to figure it out, it changes. It’s like i can’t control my mind. There’s not one single thing I know about myself that’s permanent. I don’t even feel I love my parents, because it’s more just like my mind wasn’t made for that to happen – my mind was made instead to constantly evaluate and re-evaluate things, contemplate, make up ideas and future plans, and worries over the most nonsensical things (see below). On that note, I haven’t been through trauma at all, my parents are very loving, as are my friends and extended family. But my attitude towards them consistently changes (assuming I think about them, and the reasons to change attitude are usually random ones that suddenly just seem relevant in the moment). The same applies to everything – I have no fixed opinion or view on anything at all.",Distorted,Mental Filter
"From the U.S.: My girlfriend gets really really upset when I don’t share every detail of my life with her exactly when it is happening. I have been seeing my girlfriend for about 2 years now. She lives in Chicago and I live in the central part of Illinois. Its about a 3 hour drive. Our relationship revolves around communicating through our phones and sometimes we skype when we find time in our busy busy lives. I am back in school trying to finish up my degree, and it takes up a huge part of my time. Between studying and class and homework, I am usually bogged down with that on top of my obligations to life and her.",Non-Distorted,No Distortion
"I can’t tell what I have. I feel frustrated sometimes because I have little control over my thoughts. I will often get very stressed out because of some horrible thing I think, like saying bad things about people in my mind. I never mean it. My brain seems to just be ‘daring’ me to think the words, knowing that it’s awful. I get very sad when this happens, because I would never say those things out loud, but it feels just as bad to think it. I usually try desperately to sing a song in my head or think about anything else to make it stop. Also, I’ve been experiencing some mild tics all my life, nothing major, just a slight jerky movement or I’ll randomly raise my eyebrows, but they have gotten worse lately and I don’t know what that’s all about. Any suggestions would be appreciated, as my own research turned up nothing.",Distorted,Magnification
"I suppose the issue I am having now, directly relates to issues from my childhood; so I’ll start there. My parents separated when I was pretty young, so I grew up in a single parent household. Which, surprisingly, is not the problem. My mother has OCD (along with other emotional problems). We were never allowed to be sad, or mad, or anything else that wasn’t happy. She would literally get angry with us. “What’s wrong with you?” she would say in a disgusted tone. She yelled a lot.",Distorted,Should Statements
"For as long as I can remember, I’ve always been a worrier. I’m now 15 years old (I’m a girl) and this anxiety is worsening. Anxiety and panic does run in my family but I don’t know if I have it. I’ve recently been looking into anxiety disorders and a lot of things would make sense. Symptoms I fall under are physical weakness, poor memory, fear or confusion, inability to relax, constant worry, shortness of breath, palpitations, upset stomach, and poor concentration. My earlier memory of panicking was about the age of five. My mom was leaving for work and as she drove I away, a stared out of the window wondering if she’d come back, or if she’d get hurt in an accident or something. I don’t know if that is normal at such a young age. Do you think I have an anxiety disorder? (Also, my father is an alcoholic and much of my childhood was of my parents yelling at each other and a few major incidences. My personality is very different than my siblings, which nobody really knows where it came from]).",Distorted,Fortune Telling
"Hello, I’m a 3rd year animation student and I’m concerned about my mental health. For the past few weeks I’ve been shifting from severe depression to a kind of mania. I might have felt this “high”once before but not to this point- especially during finals where most individuals are depressed and stressed. Instead of being depressed or even stressed out over work, I’m not. I’ve even been falling behind on work or being late to class and I simply don’t care.",Non-Distorted,No Distortion
"From a young man in the U.S.: My question is if there is a psychological explanation for a person choosing someone that treats him poorly over someone that was always there for him and trying to do what he wanted. I always was there for my friend S when he was complaining about his friend C, and I was always trying to make S happy. No matter what C did to S, S always forgave C instantly, but never me if I did anything similar.",Distorted,Labeling
From Australia: im working on my dreams on the side but all i want to do in the day is commit suicide. I hate working for no reason. just a waste of time. I am wasting time that i could be adventuring life and seeing the world but im stuck in a ugly office 8 hours a day. im doing different things each week and trying to get out of my comfort zone everyday. Everything feels so average. my workouts. my job is just boring as fuck. isnt changing your routine supposed to change how you feel? I just feel as though i cant shake this annoyance. Im trying to do everything before i die. i dont want to regret anything.,Distorted,Personalization
"From the U.S.: Where to begin. About 5 years ago when I was very young (16) I met my first love, to whom I lost my virginity to and fell deeply in love with. However, his parents at the time were getting separated and he took this out on me. He didn’t treat me right and I broke things off after about 2 years – not because I didn’t still love him but because we had too many issues at the time.",Distorted,Fortune Telling
"From the U.S.: I am the oldest of two and my mom passed in 2004. Since the passing of my mom I tend to step up as mother unintentionally. In 2014, I gained custody of my sister’s two children without having any children of my own. It’s been very hard on me and even harder on my sister.",Non-Distorted,No Distortion
"From a teen in the U.S. Everyday I have thoughts of death, hurting people or myself. I hate it. I cant control my thoughts. I hurt myself and don’t realize it until its done. I have bee diagnosed with, ADHD, Depression, anxiety, and PTSD. My thoughts are disorganized, Some are of saving people and others of killing them. I see everything in cycles. I hate to fail, I get depressed when i fail, and then fail more as a consequence.",Distorted,Overgeneralization
"My daughter’s 18 year old boyfriend seems great, supportive and is wonderful when he is with her, and us (her parents and siblings) but he constantly lies about issues that don’t seem to make any sense and fabricates all sorts of stories. He has lied about where he as applied and been accepted to college, and told her at least 5 times in the last two months that he had to go to the hospital or was in the emergency room. Most recently, last night, he said on his way home he got into a car accident, was in the ER and had a collapsed lung and broken ribs YET when my daughter told him she was going to dinner with girlfriends tonight he said he could meet them out! When she starts questioning the odd scenarios, he deflects, gets angry or says ‘don’t tell anyone.’ I am starting to think he is a compulsive liar and am getting very concerned about her dating him. Is this form of lying a sign of a personality disorder? He hasn’t lied or done anything to hurt her and the lies just seem really unnecessary. Is he doing this for attention? I am hoping you can help me understand what is going on and how to guide my daughter. Thank you!",Non-Distorted,No Distortion
"I’m a 23 year old and I’m currently suffering from depression, social anxiety, low-self esteem, low confidence, and I’ve been smoking marijuana. To be stated, I’m currently away from home and attending university. In the past i have also been concerned with what other think about me, and strived to be adored by others. I have constantly tried to seek the attention of others through complaining about my life, (which in true reality there is nothing wrong). Anyways it was not till leaving my home to attend school far from my house that I have experienced huge depression issues, thoughts of suicide as well, truly seeking sympathy from other to console my own issues. I’m seeking advice as well as help or methods to which I can overcome these issues in my life, so I continue down my path and being able to handle life without being overwhelmed with these issues.",Non-Distorted,No Distortion
"Do I have an eating disorder? I’m not really sure if i do or not. My dad always thought i did in middle school because i dont put my lips to my fork when i eat i use my teeth to “rake” the food off instead and i always thought that was crazy. At the time i was about five foot six and weighed about 130 wich i thought was a bit much until i saw myself in a full length mirror. now im a senior in highschool and im five foot seven and as of this morning im 144.3 lbs. I worked my way up to 167 last year and tried to get down to 140 for prom. I diddnt succeed and i ended up eating so much i gained 10 of the 20 lbs i lost and then over summer after i got diagnose with celiacs disease i diddnt eat very much, there would be days i just skipped food all together. everyday at the pool more and more guys would look and I felt more confident. when i went to my doctor for my celiacs doctor about a month ago, she said that my weight concerned her. apparently 140 is the lowest my body can be without being unhelthy and i weighed in at 142. I still didnt feel it was enough and about 2 weeks ago i discovered that if i take my adhd medicine everyother day not only can i slack off when i really want to but i get sick and then im not hungry. I went down to 140.2 for about 4 days and i felt like a fat kid. In gym I couldnt run as fast as normal and i was out of breath in no time, when we got back i looked in the mirror and saw how gross i looked. my boyfriend thinks im self destructive in ways other that not eating because he sees me eating apples and rice bars alot and thinks its the only healthy thing i do for my body since i stopped cutting.But he dosnt understand either way and dosnt seem to notice either way so i figure hes happy about thedirection of my figure. I couldnt get my meds to make me sick anymore last week so i stopped taking them and i just ate everything with sugar or chocolate or fat and went up to 147 and it freaked me out. Christmas eve i took my meds without thinking and like usual when i take hem i diddnt eat. a few hours later i got really sick but due to a childhood surgery im unable to vomit so i just dryheave and it hurts but im used to it. I diddnt eat untill christmas morning(yesterday) and i ate all day long. then thismorning i did my usual. I got in my yogapants and a bra and ran down to weigh myself. unhappy with being almost 5 lbs above goal i got off and looked in the mirror again. poking and pulling and shaking i decided that i need to get back down but mom handed me a bowl of oatmeal that im currently avoiding and thinking about flushing even tho im starving so i think ill take my meds again tomorrow so ill be at my goal before mybirthday on the 29th and then ill beable to decide if i need to loose more or not. i realise this cant benormal. making myself sick to avoid food instead of making myself purge it and actually eating so is it really an eating dissorder if i take vitamins to get my minerals and then skip a day here and there for food but i never actually purge it?if so how do i fix myself, im too scared to tell my councellor because she thinks ive made so much progress wih everything else i dont want to dissapoint her and shed probably want me to tell mom who would make me eat at the table again so she knows im eating… I want to be in the fashion and art world and food just makes me fat… not fashionable nor artistic but disgusting and lathargic and even with crunches and dieting i cant seem to look the way i want … i also feel that im unhelthy weight already because the chart for weight is based off hight and im prety sur my chest is probably about 15 or 20 lbs of my weight wich means id be at unhelthy weight already wouldnt it? I just stil dont like the way i lok tho please help me figure this out",Distorted,All-or-Nothing
"My boyfriend is the kindest person I have ever met. Since the day I met him, he has made me feel that someone cared about me. He always thinks of me and is always willing to listen to anything I have to say. I tell him to be open and honest with me, but I’m never that way with him. I always think he’ll leave me for some pretty girl he’ll meet. And no matter how much he assures me that he loves me, I can’t supress that doubt and fear, and I push him away. I want him to hate me just so I can prove he was just messing with me, but at the same time pushing him away is not what I really want.",Distorted,Mind Reading
I hate everything. I hate the people at my school. I lost interest in my school. I don’t want to go anymore. I want to give up.,Distorted,Labeling
"For years i hated my sister so much. there are things she does that i really hate. my family is divorce. My sister and i are with my mother. She had surgery years ago due to stress. I listen to everything my mother says, i fix the house when it comes to plumbing, computers, TV, networking, bathroom tiles, ceilings, etc. i work every hard and i really dont ask for anything and i respect others. My mother tells me not to yell at her or tell her what to do and my mother can not discipline her because she is worried she will have surgery again. I cant do anything because i dont want to stress my mother as well. therefore my sister can do what ever she wants.",Non-Distorted,No Distortion
"I am 21 and am dating a 29 year old who used to be a addicted to cocaine before he started dating me. he’s done pretty well with not doing drugs with me with him knowing I do not, and will absolutely not tolerate drug use around me or in my life. we started dating 6 months ago and from the beginning I told him one thing I never wanted him to do. lie to me about it. I caught him in a lie last saturday while he was trying to get it. I am in complete denial with the situation. He has usually been very honest with me if I ask him a question. I don’t want this to effect my trust with him towards other things, like woman but i’m scared that it might.",Non-Distorted,No Distortion
"In the past few years, I haven’t been getting much out of life. I don’t feel anything like I used to. Anger, happiness, joy, and even sadness seem to have left me. Things that used to give me emotional pleasure now just seem to entertain and occupy my mind. I don’t have ups and downs like teenagers are supposed to everything just seems kind of flat with a few dips. Things don’t feel very “real” anymore, the real world feels dreamy and I am constantly withdrawn. My mind is always racing and I have trouble concentrating, even trouble getting to sleep sometimes.",Distorted,Overgeneralization
"I am a 15-year-old guy who considered himself heterosexual. About 8 months ago I went on a video chat website that randomly pairs you with a stranger to chat with over the camera. I went on this website, skipped through a few people, found an older man who had his area exposed, and I masturbated with him. I did not show my face, I covered my privates while I did it, and the man stopped halfway through (I did not tell him my age). I know that what I did sounds very freakish. I have not done it for the past 8 months, and I know that I will never do it again in my life. I can’t get over what I did, I feel depressed, and I feel like everything in my life is ruined because of this mistake. I am mostly upset because I am a straight guy and have no interest in men. I don’t know why I did this, and I am truly sorry. Is there any way I can get over this? Is my integrity as a person affected by this mistake? Do I have to tell my parents about it? I’m sorry this was long, thank you for your time.",Non-Distorted,No Distortion
"My husband and I have been together since we were very young. Me 16, him 19. We are now 27 and 30 and have a 3yr old and 9month old. When we were younger, we pretty much did every drug imaginable together. I “grew up” and got over all that and he still has an addiction to pills, which didn’t start until about 4 years ago. He likes pain pills and xanex. But really he’ll snort whatever pill he can get his hands on. We have been going back and forth with this for 4 long years now. I’m at my witts end. It’s becoming clear to me by the things he says, “I can’t believe you won’t even let me do a xanex” that this is never going to change. He’s yet to seek professional help of any kind but has successfully quit the addiction to pain meds several times of the course of this 4 year period which I know for sure because I make him take drug tests. After about 4 months of being clean recently, he has come home high the last 3 days in a row. He’s a super great father to our children (and honestly he’s “better” when he’s high because the pills give him energy) and he supports us wholey on his own. He’s what you’d call a functioning addict. He is going to start seeing a drug counselor this week so we’ll see where this goes but I just don’t know what to do. I know with an addict, it’s a life long issue…no matter how long they’ve been clean. I used to always yell and scream at him and threaten to leave but I had a revelation in the recent months that I need to be supportive of him and try to help him instead of making myself so closed off. However, this isn’t helping either. It’s still the same stuff. What should I do. I’m considering divorce but I don’t just want to give up on him. I know his addiction is doing this and he trys so hard, but always falls back into it.",Non-Distorted,No Distortion
"Is this “normal” or do I have a dysfunction? Sometimes, over nothing, after working myself up into almost unnoticeable stress — even to me — I lose it. I start screaming at the top of my lungs, tearing things apart, not quite smashing things and destroying everything, but I lose care and caution around things that I love like my drawings or my books and that usually ends up with them getting damaged in some ways. I have OCD and I think quite a high anger level but I rarely ever act on it, unless its once in a blue moon — like now. Otherwise, I am able to be very rational and breathe and calm down or do something else to preoccupy my mind. Usually outbursts of sadness or madness are about getting frustrated with my compulsion, but its never quite on scale to what I would call a mental breakdown (where I throw shit and scream and berate myself). I never do this in front of people, Im otherwise a very controlled person who can rationalize my way through my anger but Im wondering if I have maybe a personality disorder since these blue moon attacks can last for a long time until I break myself down into tears and hating myself and hitting myself (Ive spoken to a psychologist on and off for a few years and he said I might also be on the spectrum, idk)",Distorted,Overgeneralization
"My friend and I have been talking and he tells me that he’s afraid one day he will become a different person that is inside of him. He’s afraid that other thing/person would try to kill someone. No one he loves, but he’s afraid that if he lets out his emotions the thing will take over and he will snap one day for a short time and do something irreversible. How do I help him and what’s wrong with him? Does he have a personality disorder or does he just not know how to process his emotions? He swears he would never hurt me and I’m not afraid that he will, but I would still like to see him not kill someone or feel like he has no control over something inside of him. I asked if he would kill animals if that were to happen and he said probably (he normally loves animals) What do I do to help him? I care deeply for him and would like to get some incite as to what is happening.",Non-Distorted,No Distortion
"From India: I feel lost, unmotivated,living for the day. My dreams are dying. I don’t have a perfect friend. I don’t feel myself. I have a few hobbies. I am learning to play keyboard. I do pencil sketches. But I have lost passion. I am a short guy with spectacles,but above average looking. I used to be a nerd. I have turned into an atheist. It has really helped me in my depression. I like science but it doesn’t like me back. I had nice curly hair, like jon snow of you will. But recently I am suffering from heavy hair fall. I come from the village. My father was a control freak,drunkard, & little abusive. He’s lost all his money,self respect & health. Whatever he’s done in life has been counter productive to our life. By our means me, my twin brother & my mother.",Distorted,All-or-Nothing
"This is crazy because i have been with my Fiance for four years and engaged for two. In the beginning of the relationship with Fiance I had just broke off a previous relationship with someone else and the ex didn’t want to let me go so he would constantly call my phone and was bothering me. My fiance was getting really upset so I changed my phone number, moved in with him and started our life together.",Distorted,Emotional Reasoning
"My brain is always clouded to the point I can’t think straight and I’m irritable. I’m almost always either sad or angry, I do have some good days but they don’t usually last longer than a week. I feel bad for my fiance and our kids, they suffer along with me if not worse. I go from super calm to super angry or sad. I have a hard time with opening up to talk about how I feel which causes more problems in my relationship. I have a hard time expressing emotions most of the time. I have anxiety I’m always worried whenever I am away from the ones I love but at the same time I feel so much better when I isolate myself from everything/everyone. At times I feel euphoric as if I’m high, but don’t use, feels like I’m in a movie or something. I used to have visual/audio hallucinations but currently only experience delusions feeling like people are out to get me or always watching me. I even believe sometimes that animals are robotic/cameras spying on me and I wanna twist they’re heads off. I try my best not to believe these and have never acted on it. Sucks when my kids just ask a question and I have yelled at them, they didn’t deserve that. I just don’t know why I’m like this….Was diagnosed as paranoid schizophrenic but was wondering if I should get second opinion.",Distorted,Magnification
"From Singapore: It’s my first time posting on here (I just created an account) and normally I’d give my whole history just to give a better idea of who I am but for now just for context I’m 15, I have Asian parents, I’m in the middle of exam week, running on 4 hours of sleep and a lot of caffeine, (I just came back from sitting for a paper).",Distorted,Mind Reading
"I recently became engaged and I am now living with my fiance. Before I moved in with him, his mother had a key to his apartment because she works around the corner from us and she likes to have lunch at our apartment. I didn’t mind her having a key to our apartment at first, but now she is letting herself in unannounced on a daily basis. I have a problem with this because I consider myself to be a private person and last week she keyed into our apartment when I was in the shower (we currently do not have a lock on the bathroom door). Also, my fiance works the overnight shift so he sleeps during the day. I have tried to be quiet while he sleeps. I am a full-time student and I usually work on my assignments quietly during the day. When his mother keys into our apartment during the day, she is rather loud and opens the door to our bedroom to check in on her son (who by the way is almost 30). My fiance is close with his mother and I don’t know how to tell him I am uncomfortable with this situation without offending him and his mother. His mother has been known to hold grudges and I don’t want to get on her bad side before I marry her son. Please help! This is driving me nuts! Thanks.",Non-Distorted,No Distortion
"Began dating 6 months ago, knew from years ago in a class, kept very loosely in touch, became a couple 3 months ago. I was attracted to his gentleness, depth, and intelligence, he is extremely sensitive.",Distorted,Magnification
